1,0.45786974909040856,1.7068940191735664,0.7815351362829199,0.006881695634428808
2,0.03058042106356404,0.7068940191735664,0.021617116753642772,0.0002530564606810226
3,0.008952807446264033,0.2417577545573597,0.002164410625193202,0.000046518519975863315
4,0.00804418906381621,0.08268115205861704,0.0006651028191736522,0.000014294694784922068
5,0.007229405700612035,0.028276954004047027,0.00020442557247280188,4.39360948094325e-6
10,0.004219601214534685,0.00013230100879214836,5.582574973835132e-7,1.1995466009384614e-8
20,0.0014757301544005008,2.8961711047608805e-9,4.2739670315990435e-12,8.08242361927114e-14
30,0.0005213336180470707,6.339941883005237e-14,3.3052248400752786e-17,2.220446049250313e-16
40,0.000185261023224359,1.387862167874321e-18,2.571167653147738e-22,2.220446049250313e-16
50,0.00006606644211448742,3.038137308766269e-23,2.007189226454713e-27,2.220446049250313e-16
60,0.000023609758653120316,6.650716851122786e-28,1.570218197252493e-32,2.220446049250313e-16
70,8.447900145092113e-6,1.4558932048983142e-32,1.229924041689909e-37,2.220446049250313e-16
80,3.025053642136122e-6,3.1870624949417975e-37,9.64103500803912e-43,2.220446049250313e-16
90,1.0837101983574016e-6,6.976725567844155e-42,7.560748649013544e-48,2.220446049250313e-16
100,3.883384861458339e-7,1.5272590269648654e-46,5.930934584840952e-53,2.220446049250313e-16